"sku","length","width","height","strength","aisle","caustic"
703674,303,131,177,3,6,
703675,304,137,175,3,6,
703677,300,133,178,3,6,
703718,378,246,146,4,6,
703721,380,239,145,4,6,
703734,361,265,165,4,6,
703896,381,246,141,3,6,
703951,370,274,71,4,7,
704002,309,228,229,4,7,
704010,307,227,228,4,7,
704014,307,226,231,4,7,
704016,306,225,231,4,7,
704020,415,305,159,4,7,
704024,308,230,227,4,7,
704025,290,170,286,3,6,
704027,290,172,285,3,6,
704028,293,170,283,3,6,
704034,412,272,75,4,7,
704040,491,295,315,2,6,
704043,371,271,71,4,7,
704044,290,172,288,3,6,
704049,290,172,288,4,6,
704051,371,271,71,4,7,
704052,366,271,74,4,7,
704053,370,275,71,4,7,
704054,365,272,73,4,7,
704055,370,271,72,3,7,
704076,461,307,115,4,7,
704078,459,305,115,4,7,
704097,365,271,76,4,6,
704128,388,243,144,3,6,
704212,304,228,229,4,6,
704256,367,272,71,4,7,
704303,540,347,191,4,6,
704305,547,403,219,4,6,
704314,268,195,291,3,6,
704322,418,313,120,4,6,
704329,290,234,223,4,6,
704414,455,283,264,3,6,
704415,419,265,329,3,6,
704431,478,286,197,3,6,
704440,371,277,167,4,6,
704443,372,275,168,4,6,
704478,565,245,300,2,6,
704479,570,248,275,2,6,
704480,567,249,277,2,6,
704510,490,296,264,2,6,
704512,489,295,264,2,6,
704514,491,296,290,2,6,
704515,491,297,308,2,6,
704525,333,245,150,4,6,
704539,334,244,150,4,6,
704560,374,304,116,1,6,
704579,306,205,192,2,6,
704580,306,205,192,2,6,
704583,306,205,192,2,6,
704584,306,205,192,2,6,
704586,306,205,192,2,6,
704587,306,205,192,2,6,
704589,306,205,192,2,6,
704590,306,205,192,2,6,
704591,306,205,192,2,6,
704592,306,205,192,2,6,
704597,306,205,192,2,6,
704598,306,205,192,2,6,
704602,387,194,204,3,6,
704603,387,195,205,3,6,
704739,288,191,291,3,6,
704740,290,189,289,3,6,
704753,293,193,293,3,6,
704754,293,189,286,3,6,
704757,501,267,192,3,6,
704759,445,261,215,3,6,
704760,341,268,281,3,6,
704763,421,270,327,3,6,
704768,443,261,219,3,6,
704769,457,285,263,3,6,
704776,295,191,292,3,6,
704784,296,189,290,4,6,
704787,503,267,192,3,6,
704796,325,235,166,3,6,
704798,391,196,207,3,6,
704801,387,192,205,3,6,
704805,394,196,203,3,6,
704806,395,196,204,3,6,
704854,293,184,287,4,6,
704859,457,279,290,2,6,
704861,455,280,279,3,6,
704880,455,279,286,2,6,
704883,289,191,283,4,6,
704885,289,184,286,4,6,
704890,404,200,200,3,6,
704898,394,321,203,4,6,
